0050_G2A4E7S0C2_HJH_000089|크게 말하였습니다.|크게 말하였습니다.
0050_G2A4E7S0C2_HJH_001122|인간이 사는 마을이 나타났습니다.|인간이 사는 마을이 나타났습니다.
0050_G2A4E7S0C2_HJH_001911|특별한 취미가 있는 것입니다.|특별한 취미가 있는 것입니다.
0050_G2A4E7S0C2_HJH_001391|잊지 말아 주십시오.|잊지 말아 주십시오.
0050_G2A4E7S0C2_HJH_000743|옛날이야기를 해주고 있었습니다.|옛날이야기를 해주고 있었습니다.
0050_G2A4E7S0C2_HJH_001612|다 숨겨진 비밀이 있어.|다 숨겨진 비밀이 있어.
0050_G2A4E7S0C2_HJH_000793|나는 다시 작문 숙제를 받게 되었습니다.|나는 다시 작문 숙제를 받게 되었습니다.
0050_G2A4E7S0C2_HJH_001015|서가란 놈이 죽어 있는 건 알 수 있었습니다.|서가란 놈이 죽어 있는 건 알 수 있었습니다.
0050_G2A4E7S0C2_HJH_000195|할아버지가 타일렀습니다.|할아버지가 타일렀습니다.
0050_G2A4E7S0C2_HJH_000276|주정꾼을 부축하여 파출소를 향하였다.|주정꾼을 부축하여 파출소를 향하였다.
0050_G2A4E7S0C2_HJH_000911|그는 빅토리아 시대 후기의 로맨틱한 심미주의를 부활시키고 있는 것이다.|그는 빅토리아 시대 후기의 로맨틱한 심미주의를 부활시키고 있는 것이다.
0050_G2A4E7S0C2_HJH_001170|사정을 안다면 존경심이 생기겠지.|사정을 안다면 존경심이 생기겠지.
0050_G2A4E7S0C2_HJH_000895|시치미 떼었다.|시치미 떼었다.
0050_G2A4E7S0C2_HJH_000241|새해의 기쁨은 가득이 찼다.|새해의 기쁨은 가득이 찼다.
0050_G2A4E7S0C2_HJH_000002|그녀가 듣고 싶어하는 것을 보고 그녀는 안심한 듯이 말을 시작한다.|그녀가 듣고 싶어하는 것을 보고 그녀는 안심한 듯이 말을 시작한다.
0050_G2A4E7S0C2_HJH_001593|웃으면서 심부름을 시키지요.|웃으면서 심부름을 시키지요.
0050_G2A4E7S0C2_HJH_000071|우리 예술가의 견지로는 이렇게 볼 수도 있습니다.|우리 예술가의 견지로는 이렇게 볼 수도 있습니다.
0050_G2A4E7S0C2_HJH_000107|경치 좋은 곳에서 산다.|경치 좋은 곳에서 산다.
0050_G2A4E7S0C2_HJH_000077|입에 풀칠을 해가다가 서울로 왔다.|입에 풀칠을 해가다가 서울로 왔다.
0050_G2A4E7S0C2_HJH_001055|글을 쓰면서 느낀 것이 있다.|글을 쓰면서 느낀 것이 있다.
0050_G2A4E7S0C2_HJH_000285|기차를 세웠습니다.|기차를 세웠습니다.
0050_G2A4E7S0C2_HJH_000166|내일 이맘때까지 스물 네 시간 남았다.|내일 이맘때까지 스물 네 시간 남았다.
0050_G2A4E7S0C2_HJH_001054|처음 갈 때에 그 설렘을 잊지 못합니다.|처음 갈 때에 그 설렘을 잊지 못합니다.
0050_G2A4E7S0C2_HJH_000845|짐승을 보니까 사자였습니다.|짐승을 보니까 사자였습니다.
0050_G2A4E7S0C2_HJH_000242|기쁨을 즐깁시다.|기쁨을 즐깁시다.
0050_G2A4E7S0C2_HJH_000614|참나무 잎입니다.|참나무 잎입니다.
0050_G2A4E7S0C2_HJH_001861|그녀는 모습을 감추고, 다시 나타나지 않았습니다.|그녀는 모습을 감추고, 다시 나타나지 않았습니다.
0050_G2A4E7S0C2_HJH_000584|춤추는 소년 소녀들이 있었습니다.|춤추는 소년 소녀들이 있었습니다.
0050_G2A4E7S0C2_HJH_001653|씩씩한 소년이 됩시다.|씩씩한 소년이 됩시다.
0050_G2A4E7S0C2_HJH_000064|김 씨를 보면 주전자를 들고 일어서는 부인이기도 했다.|김 씨를 보면 주전자를 들고 일어서는 부인이기도 했다.
0050_G2A4E7S0C2_HJH_000527|지금쯤 차이코프스끼의 파테티크가 연주되기 시작하였을 것이다.|지금쯤 차이코프스끼의 파테티크가 연주되기 시작하였을 것이다.
0050_G2A4E7S0C2_HJH_000938|새로운 취미가 흥미를 줄 것이야.|새로운 취미가 흥미를 줄 것이야.
0050_G2A4E7S0C2_HJH_000031|손수 만들기를 위하여 안하는 짓이 없었다.|손수 만들기를 위하여 안하는 짓이 없었다.
0050_G2A4E7S0C2_HJH_000842|사람은 마땅히 이만한 깊이를 가질 것이다.|사람은 마땅히 이만한 깊이를 가질 것이다.
0050_G2A4E7S0C2_HJH_001735|깎은 듯이 절벽이 솟아있다.|깎은 듯이 절벽이 솟아있다.
0050_G2A4E7S0C2_HJH_000883|사실 그곳은 친정이 아니었다.|사실 그곳은 친정이 아니었다.
0050_G2A4E7S0C2_HJH_000070|강물이 내려오는 모든 것이 달라졌습니다.|강물이 내려오는 모든 것이 달라졌습니다.
0050_G2A4E7S0C2_HJH_000159|피리 소리는 하늘로 올라간 친구가 불고 있는 것이라 합니다.|피리 소리는 하늘로 올라간 친구가 불고 있는 것이라 합니다.
0050_G2A4E7S0C2_HJH_001829|초가삼간집을 짓고 잘 살았다.|초가삼간집을 짓고 잘 살았다.
0050_G2A4E7S0C2_HJH_000013|따님을 두셔서 행복하시겠어요.|따님을 두셔서 행복하시겠어요.
0050_G2A4E7S0C2_HJH_000271|그의 책상 위에는 편지 한 장이 떨어져 있었다.|그의 책상 위에는 편지 한 장이 떨어져 있었다.
0050_G2A4E7S0C2_HJH_000443|손님이 오셔서 같이 나가셨어요.|손님이 오셔서 같이 나가셨어요.
0050_G2A4E7S0C2_HJH_001628|돌아 다니다가 다시 이곳을 찾아온 것이다.|돌아 다니다가 다시 이곳을 찾아온 것이다.
0050_G2A4E7S0C2_HJH_000059|한 번 쳐다보았습니다.|한 번 쳐다보았습니다.
0050_G2A4E7S0C2_HJH_000996|학생은 모두 서있는데 신기했습니다.|학생은 모두 서있는데 신기했습니다.
0050_G2A4E7S0C2_HJH_000728|청년이 이상한 말을 했습니다.|청년이 이상한 말을 했습니다.
0050_G2A4E7S0C2_HJH_000055|소녀는 기사를 불러 댔습니다.|소녀는 기사를 불러 댔습니다.
0050_G2A4E7S0C2_HJH_000522|그것이 유일한 기독신자의 직업이다.|그것이 유일한 기독신자의 직업이다.
0050_G2A4E7S0C2_HJH_000755|방 안이 몹시 밝았습니다.|방 안이 몹시 밝았습니다.
0050_G2A4E7S0C2_HJH_000003|산과 들로 같이 가십시다.|산과 들로 같이 가십시다.
0050_G2A4E7S0C2_HJH_000814|세계 지도와 지구본을 비교했습니다.|세계 지도와 지구본을 비교했습니다.
0050_G2A4E7S0C2_HJH_000068|나쁜 말을 하지 않도록 일깨워 주려고 노력했습니다.|나쁜 말을 하지 않도록 일깨워 주려고 노력했습니다.
0050_G2A4E7S0C2_HJH_000733|정말 씩씩하게 자라서 큰 일을 하게 됐네.|정말 씩씩하게 자라서 큰 일을 하게 됐네.
0050_G2A4E7S0C2_HJH_001891|날개가 돋친 듯이 팔려나가는 것이다.|날개가 돋친 듯이 팔려나가는 것이다.
0050_G2A4E7S0C2_HJH_000113|꽃으로 피어 있습니다.|꽃으로 피어 있습니다.
0050_G2A4E7S0C2_HJH_000007|귀엽게 굴면서 손목 잡고 한 학교에 다녔습니다.|귀엽게 굴면서 손목 잡고 한 학교에 다녔습니다.
0050_G2A4E7S0C2_HJH_001799|김 씨의 한결같이 꾀죄죄한 두루마기 때문이다.|김 씨의 한결같이 꾀죄죄한 두루마기 때문이다.
0050_G2A4E7S0C2_HJH_000445|귀를 기울여 선생님의 이야기를 듣게 되었습니다.|귀를 기울여 선생님의 이야기를 듣게 되었습니다.
0050_G2A4E7S0C2_HJH_000818|새로이 지어진 것은 기존에 있던 것과 크게 다르지 않았다.|새로이 지어진 것은 기존에 있던 것과 크게 다르지 않았다.
0050_G2A4E7S0C2_HJH_000792|책상에서 대화를 나누었습니다.|책상에서 대화를 나누었습니다.
0050_G2A4E7S0C2_HJH_001086|여러분은 누구든지 그 아이의 행동을 더럽게 여기시리다.|여러분은 누구든지 그 아이의 행동을 더럽게 여기시리다.
0050_G2A4E7S0C2_HJH_000676|이 날을 즐기자는 뜻이 잠겨 있다.|이 날을 즐기자는 뜻이 잠겨 있다.
0050_G2A4E7S0C2_HJH_001613|조매만 기둘러주이소.|조매만 기둘러주이소.
0050_G2A4E7S0C2_HJH_000041|책을 읽고 있는 방에 가서 숨었습니다.|책을 읽고 있는 방에 가서 숨었습니다.
0050_G2A4E7S0C2_HJH_001931|새빨간 칠을 한 우뚝한 높은 집이 서 있었습니다.|새빨간 칠을 한 우뚝한 높은 집이 서 있었습니다.
0050_G2A4E7S0C2_HJH_000198|사람이 하나도 없구나.|사람이 하나도 없구나.
0050_G2A4E7S0C2_HJH_001320|그 이야기를 하지요.|그 이야기를 하지요.
0050_G2A4E7S0C2_HJH_001000|최후의 아름다운 꽃을 피우기 위하여는 일생을 지나야한다.|최후의 아름다운 꽃을 피우기 위하여는 일생을 지나야한다.
0050_G2A4E7S0C2_HJH_001712|참을 수 없는 분을 풀어 보려고 하였던 것이 사실입니다.|참을 수 없는 분을 풀어 보려고 하였던 것이 사실입니다.
0050_G2A4E7S0C2_HJH_001337|담담하게 아들을 격려하였습니다.|담담하게 아들을 격려하였습니다.
0050_G2A4E7S0C2_HJH_001454|가만히 보십시오.|가만히 보십시오.
0050_G2A4E7S0C2_HJH_001541|가을 이야기를 하기로 했다.|가을 이야기를 하기로 했다.
0050_G2A4E7S0C2_HJH_000037|나무숲 저 뒤로 깊숙이 물러서서 공론을 하였습니다.|나무숲 저 뒤로 깊숙이 물러서서 공론을 하였습니다.
0050_G2A4E7S0C2_HJH_000518|비가 쏟아지기 시작했다.|비가 쏟아지기 시작했다.
0050_G2A4E7S0C2_HJH_000591|산 속에 노인이 있었습니다.|산 속에 노인이 있었습니다.
0050_G2A4E7S0C2_HJH_000726|잘 준비를 하는 것입니다.|잘 준비를 하는 것입니다.
0050_G2A4E7S0C2_HJH_000240|색채를 써서 그린 산수화가 있다.|색채를 써서 그린 산수화가 있다.
0050_G2A4E7S0C2_HJH_000005|나는 동생에게 조금 늦을 것이라는 메시지를 남겼다.|나는 동생에게 조금 늦을 것이라는 메시지를 남겼다.
0050_G2A4E7S0C2_HJH_001217|가고 싶던 곳이 기억 나지 않는다.|가고 싶던 곳이 기억 나지 않는다.
0050_G2A4E7S0C2_HJH_000170|좀 평안히 나가서 쉬시라고 자꾸 그러셔서요.|좀 평안히 나가서 쉬시라고 자꾸 그러셔서요.
0050_G2A4E7S0C2_HJH_000848|선생에게서 성경의 중심 진리를 배울 수 있다.|선생에게서 성경의 중심 진리를 배울 수 있다.
0050_G2A4E7S0C2_HJH_000160|한참 소근거렸습니다.|한참 소근거렸습니다.
0050_G2A4E7S0C2_HJH_001758|매일 십 전씩 저축하면 송아지를 살 수 있다고 한다.|매일 십 전씩 저축하면 송아지를 살 수 있다고 한다.
0050_G2A4E7S0C2_HJH_001428|깨끗한 방을 치우세요.|깨끗한 방을 치우세요.
0050_G2A4E7S0C2_HJH_000173|젊은 기사는 성주였던 것입니다.|젊은 기사는 성주였던 것입니다.
0050_G2A4E7S0C2_HJH_000146|손을 드는 것을 보면 의심스럽진 않았습니다.|손을 드는 것을 보면 의심스럽진 않았습니다.
0050_G2A4E7S0C2_HJH_000988|앞길에 행복이 있어라.|앞길에 행복이 있어라.
