0050_G2A4E7S0C2_HJH_001833|심장을 찔린 그의 가슴에서 빨간 피가 샘솟듯이 솟아 나온다.|심장을 찔린 그의 가슴에서 빨간 피가 샘솟듯이 솟아 나온다.
0050_G2A4E7S0C2_HJH_001339|이 곳으로 오세요.|이 곳으로 오세요.
0050_G2A4E7S0C2_HJH_001175|그 같은 사람도 있는 것이니깐 이런 경우엔 어떻게 해결하렵니까?|그 같은 사람도 있는 것이니깐 이런 경우엔 어떻게 해결하렵니까?
0050_G2A4E7S0C2_HJH_000888|여보시오, 도회에 가보우.|여보시오, 도회에 가보우.
0050_G2A4E7S0C2_HJH_001877|바다 저쪽으로부터 조그만 배 한 척이 사람을 싣고 왔습니다.|바다 저쪽으로부터 조그만 배 한 척이 사람을 싣고 왔습니다.
0050_G2A4E7S0C2_HJH_000353|깨끗하게 적어두겠다.|깨끗하게 적어두겠다.
0050_G2A4E7S0C2_HJH_000458|이 신앙으로 반도에 입각할 영적 척주로 삼으려는 기원이 간절하다.|이 신앙으로 반도에 입각할 영적 척주로 삼으려는 기원이 간절하다.
0050_G2A4E7S0C2_HJH_001268|귀납적 논증은 다른 논증 방법과 다른 특성이 있나요?|귀납적 논증은 다른 논증 방법과 다른 특성이 있나요?
0050_G2A4E7S0C2_HJH_000089|크게 말하였습니다.|크게 말하였습니다.
0050_G2A4E7S0C2_HJH_001122|인간이 사는 마을이 나타났습니다.|인간이 사는 마을이 나타났습니다.
0050_G2A4E7S0C2_HJH_001911|특별한 취미가 있는 것입니다.|특별한 취미가 있는 것입니다.
0050_G2A4E7S0C2_HJH_001436|일기장은 진정한 친구가 아닌 이상 절대로 보여주지 않을 거야.|일기장은 진정한 친구가 아닌 이상 절대로 보여주지 않을 거야.
0050_G2A4E7S0C2_HJH_001391|잊지 말아 주십시오.|잊지 말아 주십시오.
0050_G2A4E7S0C2_HJH_000264|과연 돈이 들어 있었을까.|과연 돈이 들어 있었을까.
0050_G2A4E7S0C2_HJH_001084|우리 반의 반은 낙제시켜야 할 것 같습니다.|우리 반의 반은 낙제시켜야 할 것 같습니다.
0050_G2A4E7S0C2_HJH_001162|소문은 기억이 어렴풋하다.|소문은 기억이 어렴풋하다.
0050_G2A4E7S0C2_HJH_000865|큰 소리로 외치라.|큰 소리로 외치라.
0050_G2A4E7S0C2_HJH_001724|모여서 잡담을 하던 친구가 내게 물었다.|모여서 잡담을 하던 친구가 내게 물었다.
0050_G2A4E7S0C2_HJH_000961|석탄 중에 새까만 것은 없었다.|석탄 중에 새까만 것은 없었다.
0050_G2A4E7S0C2_HJH_000922|적을 친구로 만들 수 있는 사람이 강한 사람입니다.|적을 친구로 만들 수 있는 사람이 강한 사람입니다.
0050_G2A4E7S0C2_HJH_001223|그러나 대략한 의미뿐은 통하였습니다.|그러나 대략한 의미뿐은 통하였습니다.
0050_G2A4E7S0C2_HJH_001789|모험을 시작했다.|모험을 시작했다.
0050_G2A4E7S0C2_HJH_000390|점잖고 어진 교훈이, 그의 천분을 못 발휘하게 한 셈이지요.|점잖고 어진 교훈이, 그의 천분을 못 발휘하게 한 셈이지요.
0050_G2A4E7S0C2_HJH_001219|막연하나마 흙냄새의 감정이 이해되는 것 같이 느껴지는 것이었다.|막연하나마 흙냄새의 감정이 이해되는 것 같이 느껴지는 것이었다.
0050_G2A4E7S0C2_HJH_000764|맞은편 언덕의 주택지에는 불빛이 빤짝거린다.|맞은편 언덕의 주택지에는 불빛이 빤짝거린다.
0050_G2A4E7S0C2_HJH_000491|소녀는 기사를 쳐다보았습니다.|소녀는 기사를 쳐다보았습니다.
0050_G2A4E7S0C2_HJH_000743|옛날이야기를 해주고 있었습니다.|옛날이야기를 해주고 있었습니다.
0050_G2A4E7S0C2_HJH_000805|어느새 땀이 났는지, 스치는 바람에 등이 차갑다.|어느새 땀이 났는지, 스치는 바람에 등이 차갑다.
0050_G2A4E7S0C2_HJH_001191|주정꾼의 즉흥악을 베끼는 일은 꿈에도 생각하지 않았습니다.|주정꾼의 즉흥악을 베끼는 일은 꿈에도 생각하지 않았습니다.
0050_G2A4E7S0C2_HJH_001612|다 숨겨진 비밀이 있어.|다 숨겨진 비밀이 있어.
0050_G2A4E7S0C2_HJH_001771|나의 유희심은 육체적인 데서 정신적인 데로 비약한다.|나의 유희심은 육체적인 데서 정신적인 데로 비약한다.
0050_G2A4E7S0C2_HJH_000110|아가, 밤이 늦었으니 우리랑 들어가서 자자.|아가, 밤이 늦었으니 우리랑 들어가서 자자.
