0033_G2A3E1S0C1_KMA_000001|조선인 위안부들을 구하러 한국군이 도착했습니다.|조선인 위안부들을 구하러 한국군이 도착했습니다.
0033_G2A3E1S0C1_KMA_000002|찾아온 것만으로 기쁜 일이라 생각했습니다.|찾아온 것만으로 기쁜 일이라 생각했습니다.
0033_G2A3E1S0C1_KMA_000003|아빠에게 그렇게 친절하게 대해주셔서 감사드립니다.|아빠에게 그렇게 친절하게 대해주셔서 감사드립니다.
0033_G2A3E1S0C1_KMA_000004|온 몸에 힘이 빠져 휘청대는 그녀를 도왔다.|온 몸에 힘이 빠져 휘청대는 그녀를 도왔다.
0033_G2A3E1S0C1_KMA_000005|그는 그 말씀을 감사하게 여겼습니다.|그는 그 말씀을 감사하게 여겼습니다.
0033_G2A3E1S0C1_KMA_000006|돈독한 우정의 표시라며 반지를 선물했다.|돈독한 우정의 표시라며 반지를 선물했다.
0033_G2A3E1S0C1_KMA_000007|괴물을 보고 도망치고 있는데 낚시꾼이 도와주었다.|괴물을 보고 도망치고 있는데 낚시꾼이 도와주었다.
0033_G2A3E1S0C1_KMA_000008|감격한 소리로! 고맙습니다.|감격한 소리로! 고맙습니다.
0033_G2A3E1S0C1_KMA_000009|신세 진 것은 꼭 갚아야겠다고 했다.|신세 진 것은 꼭 갚아야겠다고 했다.
0033_G2A3E1S0C1_KMA_000010|제 힘으로 할테니 염려마세요.|제 힘으로 할테니 염려마세요.
0033_G2A3E1S0C1_KMA_000011|나를 문병해 준 것은 잊지 않을게.|나를 문병해 준 것은 잊지 않을게.
0033_G2A3E1S0C1_KMA_000012|편지를 해준 것이 가슴에 스미도록 고마웠습니다.|편지를 해준 것이 가슴에 스미도록 고마웠습니다.
0033_G2A3E1S0C1_KMA_000013|연회 정보가 필요합니다.|연회 정보가 필요합니다.
0033_G2A3E1S0C1_KMA_000014|나를 잘 부탁한다고 당부하고 떠났다.|나를 잘 부탁한다고 당부하고 떠났다.
0033_G2A3E1S0C1_KMA_000015|덤불이 공주의 옷을 잡아 옷이 예뻐졌다.|덤불이 공주의 옷을 잡아 옷이 예뻐졌다.
0033_G2A3E1S0C1_KMA_000016|그는 나에게 예의를 지켜 정중하게 말했습니다.|그는 나에게 예의를 지켜 정중하게 말했습니다.
0033_G2A3E1S0C1_KMA_000017|친구의 손목을 잡고 고마운 인사를 하였습니다.|친구의 손목을 잡고 고마운 인사를 하였습니다.
